Year,COUNTY,District Name,Autism,Total SWD Count,Total Students,Classification Rate,SED1,GEOID,Longitude,Latitude,PM25,Elevation (ft),vpdmin_hPa,vpdmax _hPa,ppt_mm,tmin_c,tmean_c,tmax_c,tdmean_c,Total_pop,Age20to24_percent,Age25to34_percent,Age35to44_percent,Age45to54_percent,Age55to59_percent,Age60to64_percent,Age65to74_percent,Age75to84_percent,Age85plus_percent,Age18plus_percent,Age21plus_percent,Age65plus_percent,LC_Total,Pop_density,GEO_ID,Below_poverty_percent,Bachelor_plus_percent,Median_household_income,NAME,total_pop,male_percent,female_percent,median_age,under5_percent,age5to9_percent,age10to14_percent,age15to19_percent,white_percent,black_percent,asian_percent,hispanic_percent,non_hispanic_percent,Water_percent,Developed_percent,Barren_percent,Forest_percent,Shrub_percent,Grass_percent,Pasture_crops_percent,Wetland_percent
2021,NASSAU,MANHASSET UNION FREE SCHOOL DISTRICT,41,396,3787,10.46,28040603,3618270,-73.6908,40.796,7.4,105,1.35,9.56,1439.16,9,13,16.94,7.33,17089,5.32,6.38,11.76,16.45,8.56,7.02,9.16,3.68,2.6,72.65,69.95,15.44,13211100,1293.53,9700000US3618270,2.7,76.5,226250,"Manhasset Union Free School District, New York",17089,49.1,50.9,43.1,4.9,8.3,8.4,7.4,71.3,6.6,16.8,6.6,93.4,5.109339873,87.34246202,0.108999251,5.947271613,0.027249813,0.286123033,0.701682676,0.476871722
2021,GREENE,CATSKILL CENTRAL SCHOOL DISTRICT,39,223,1417,15.74,19040106,3606720,-73.9323,42.2153,6.6,210,0.81,11.16,1358.65,5.44,10.78,16.11,5.11,11591,7.03,16.22,11.6,11.71,6.12,8.74,14.25,4.88,4.13,85.69,83.87,23.27,193734000,59.83,9700000US3606720,8.1,26.3,52353,"Catskill Central School District, New York",11591,52.7,47.3,44.9,4.8,3,4.8,2.8,88.3,5.5,1.2,5.3,94.7,5.363746167,13.96264982,2.09095977,60.07850971,0.122177831,0.376289139,9.00724705,8.998420515
2022,ONEIDA,WESTMORELAND CENTRAL SCHOOL DISTRICT,11,141,879,16.04,41280104,3631050,-75.4402,43.1279,5.1,617,0.81,9.77,1167.64,2.89,8.39,13.89,3.44,6739,4.23,14.1,11.56,11.07,8.68,10.31,12.38,5.62,1.45,80.52,78.88,19.45,110911500,60.76,9700000US3631050,1.3,23.1,97255,"Westmoreland Central School District, New York",6739,55.2,44.8,44.4,5.7,5.1,5.7,4.1,95.6,1.9,1,4.7,95.3,0.051933298,12.119122,0.000811458,24.13194304,0.051933298,0.037327058,50.48890331,13.11802653
2022,MADISON,CAZENOVIA CENTRAL SCHOOL DISTRICT,9,143,1400,10.21,25020106,3606780,-75.8285,42.9194,5.2,1401,0.57,9.04,1084.83,1.89,7.39,12.89,2.89,10154,8.61,7.37,9.3,10.46,7.73,9.47,13.96,6.32,2.9,83.5,72.37,23.17,291736800,34.81,9700000US3606780,1.6,47.3,85673,"Cazenovia Central School District, New York",10154,46.2,53.8,46,3.8,3.7,5.4,11,93.8,2.1,0.8,3,97,2.171820627,9.830881809,0.132653817,39.32291024,0.136355784,0.345208421,41.3679385,6.692230805
2022,DUTCHESS,PAWLING CENTRAL SCHOOL DISTRICT,20,159,1539,10.33,13120104,3622530,-73.6025,41.5663,5.5,620,0.99,11.08,1119.89,4.56,10.06,15.56,4,8728,5.2,8.24,10.46,14.42,10.27,9.75,10.84,5.12,2.91,79.25,76.07,18.87,135264600,64.53,9700000US3622530,2.1,44.2,114701,"Pawling Central School District, New York",8728,49.7,50.3,49.2,4.6,6.2,6.1,5.9,80,5.8,1.3,12.6,87.4,1.906263723,12.53409983,0.075851331,68.63480911,0.146379762,0.279452274,10.50274795,5.920396024
2010,Allegany,Cuba-Rushford C S D,0,150,1025,14.63,2230204,3632010,-78.2716,42.3094,7.6,1926,0.52,9.11,1083.31,2.39,7.61,12.83,1.89,6295,6.27,9.75,11.2,15.97,8.47,7.88,9.88,6.51,2,79.08,76.43,18.4,409436100,15.37,9700000US3632010,6.9,16.7,45590,"Cuba-Rushford Central School District, New York",6295,50.8,49.2,45.5,4.9,4,7,6.2,98,0.2,0.6,1.4,98.6,1.074013747,7.542056013,0.026817372,61.03809605,0.137384075,0.27718611,27.97381569,1.930630934
2010,Putnam,Putnam Valley C S D,15,225,1861,12.09,48050304,3624000,-73.8376,41.394,7.5,587,1.18,12.05,1333.75,6.06,11.11,16.17,3.67,10752,4.09,13,15.39,16.16,8.28,3.77,5.38,2.8,1.36,72.19,69.29,9.53,79411500,135.4,9700000US3624000,3.7,35.2,90417,"Putnam Valley Central School District, New York",10752,49.7,50.3,37.6,7.4,8.9,7.3,6.2,90.8,2.5,1.3,10.9,89.1,4.014280048,15.56071854,0.001133337,75.36805123,0.083866946,0.155267184,0.436334788,4.380347934
2010,Saratoga,Stillwater C S D,7,149,1266,11.77,52200104,3628110,-73.6782,42.9776,6.7,269,0.95,11.95,1131.57,4.89,10.28,15.67,3.22,7521,4.03,11.69,15.4,16.94,7.14,4.25,8.38,4.48,0.65,76.05,72.56,13.51,135266400,55.6,9700000US3628110,2.8,20.9,69450,"Stillwater Central School District, New York",7521,52.1,47.9,39.6,5.8,8.3,6.5,6.5,93.8,0.5,2.2,2.3,97.7,7.306914356,10.67560015,0.121094374,41.35838612,0.283440677,0.33068079,26.81974238,13.10414116
2011,Allegany,Cuba-Rushford C S D,0,134,1041,12.87,2230204,3632010,-78.2716,42.3094,7.9,1926,0.6,8.6,1394.71,2.94,8,13,2.61,6413,5.6,9.64,11.49,16.79,9.06,7.05,10.32,6.33,2.21,80.17,77.67,18.87,409436100,15.66,9700000US3632010,5.5,17.9,47481,"Cuba-Rushford Central School District, New York",6413,51.7,48.3,46.3,4.7,3.7,6.5,6.6,98.6,0.1,0.3,0.7,99.3,1.086982804,7.564477094,0.027916444,61.02600626,0.150792761,0.271470933,27.94370111,1.928652603
2011,Westchester,Irvington U F S D,19,215,1837,11.7,66040202,3615450,-73.8663,41.0457,9.7,79,1.59,11.81,1773.43,8,12.72,17.44,4.94,9202,4.15,8.65,10.92,18.02,10.65,6.44,4.79,5.31,2.63,72.96,70.56,12.74,18274500,503.54,9700000US3615450,1.5,64.7,124318,"Irvington Union Free School District, New York",9202,46.6,53.4,43.4,6.4,6.6,8.4,7,84.6,3.4,6.9,7.7,92.3,37.50800295,45.74242797,0.024624477,16.06008372,0,0.07387343,0,0.590987442
